file,sku_main,old_skus,new_skus,passed
output_5329.txt,JNE3780-KR-XXXL,"['JNE3371-KR-XXXL', 'JNE3534-KR-XXXL', 'JNE3762-KR-XXXL', 'JNE3425-KR-XXXL', 'JNE3549-KR-XXXL']","['JNE3371-KR-XXXL', 'JNE3534-KR-XXXL', 'JNE3762-KR-XXXL', 'JNE3425-KR-XXXL', 'JNE3549-KR-XXXL']",True
output_533.txt,J0353-KR-XXL,"['JNE3506-KR-XXL', 'JNE3813-KR-XXL', 'JNE3836-KR-XXL', 'J0352-KR-XXL', 'JNE3837-KR-XXL']","['JNE3506-KR-XXL', 'JNE3813-KR-XXL', 'JNE3836-KR-XXL', 'J0352-KR-XXL', 'JNE3837-KR-XXL']",True
output_5330.txt,JNE3837-KR-XL,"['MEN5021-KR-XL', 'MEN5025-KR-XL', 'MEN5022-KR-XL', 'J0097-KR-XL', 'JNE3450-KR-XL']","['MEN5021-KR-XL', 'MEN5025-KR-XL', 'MEN5022-KR-XL', 'J0097-KR-XL', 'JNE3450-KR-XL']",True
output_5331.txt,SET306-KR-PP-XS,"['SET330-KR-PP-XS', 'SET326-KR-PP-XS', 'SET372-KR-PP-XS', 'SET219-KR-PP-XS']","['SET330-KR-PP-XS', 'SET326-KR-PP-XS', 'SET372-KR-PP-XS', 'SET219-KR-PP-XS']",True
output_5332.txt,SET262-KR-NP-XXL,"['SET328-KR-NP-XXL', 'SET331-KR-NP-XXL', 'SET383-KR-NP-XXL', 'SET345-KR-NP-XXL', 'SET286-KR-NP-XXL']","['SET328-KR-NP-XXL', 'SET331-KR-NP-XXL', 'SET383-KR-NP-XXL', 'SET345-KR-NP-XXL', 'SET286-KR-NP-XXL']",True
output_5333.txt,J0011-LCD-S,[],[],True
output_5334.txt,JNE2113-KR-381-M,[],[],True
output_5335.txt,J0150-KR-XS,"['JNE3567-KR-XS', 'JNE3618-KR-XS', 'JNE3405-KR-XS', 'JNE3716-KR-XS', 'JNE3613-KR-XS']","['JNE3567-KR-XS', 'JNE3618-KR-XS', 'JNE3405-KR-XS', 'JNE3716-KR-XS', 'JNE3613-KR-XS']",True
output_5336.txt,JNE3456-KR-XS,"['JNE3416-KR-XS', 'JNE3526-KR-XS', 'JNE3745-KR-XS', 'JNE3424-KR-XS', 'JNE3601-KR-XS']","['JNE3601-KR-XS', 'JNE3745-KR-XS', 'JNE3526-KR-XS', 'JNE3416-KR-XS', 'JNE3424-KR-XS']",True
output_5337.txt,JNE3757-KR-XL,"['JNE3560-KR-XL', 'JNE3396-KR-XL', 'JNE3764-KR-XL', 'JNE3782-KR-XL', 'JNE3404-KR-XL']","['JNE3560-KR-XL', 'JNE3396-KR-XL', 'JNE3764-KR-XL', 'JNE3782-KR-XL', 'JNE3473-KR-XL']",False
output_5338.txt,SET415-KR-NP-M,"['SET390-KR-NP-M', 'SET393-KR-NP-M', 'SET403-KR-NP-M', 'SET414-KR-NP-M', 'SET380-KR-NP-M']","['SET390-KR-NP-M', 'SET393-KR-NP-M', 'SET403-KR-NP-M', 'SET414-KR-NP-M', 'SET380-KR-NP-M']",True
output_5339.txt,JNE3892-TP-XL,['JNE3895-TP-XL'],['JNE3895-TP-XL'],True
output_534.txt,JNE1977-KR-237-M,[],[],True
output_5340.txt,NW038-ST-SR-XXL,['NW020-ST-SR-XXL'],['NW020-ST-SR-XXL'],True
output_5341.txt,SET357-KR-NP-XXXL,"['SET297-KR-NP-XXXL', 'SET442-KR-NP-XXXL']","['SET297-KR-NP-XXXL', 'SET442-KR-NP-XXXL']",True
